"Screen.Name..LED...Vinyl.Signs.","Building.Address","Location"
"1650 Broadway (Broadway @ West 50th St)","1650 Broadway","Upper Bway"
"Walgreens ALL THREE","1 Times Sq","Bowtie"
"Broadway Spire W Hotel (1567 Broadway btw 46th & 47th)","1567 Broadway","Bowtie"
"American Eagle (two screens)","1551 Broadway","Bowtie"
"NASDAQ Main Screen","4 Times Sq","Bowtie"
"Broadway Spire W Hotel Sean John (1567 Broadway @ 47th)","1567 Broadway","Bowtie"
"Broadway Spire W Hotel (1567 Broadway btw 46th & 47th)","1567 Broadway","Bowtie"
"Broadway Spire W Hotel (1567 Broadway btw 46th & 47th)","1567 Broadway","Bowtie"
"Reuters Screen","3 Times Sq","Bowtie"
"Barclays (wrap-around)","745 Seventh Ave","Upper Sev"
