"Screen.Name..LED...Vinyl.Signs.","Building.Address","Location.Description","Location","Height","Type","X.","Width","X__Height","SF","Note.Photo","X_.","X_Width","X_Height","X_SF","TOTAL","TOTAL.SF","TOTAL.BY.TYPE"
"Morgan Stanely Screen","1585 Broadway","One Screen on the Corner of 48th","Upper Bway","Above 65 Ft","LED",1,12,24,288,"",NA,NA,NA,0,1,288,""
"M&M Screen","1600 Broadway","Corner of 48th Street","Upper Bway","Under 65 Ft","LED",1,40,51,2040,"",NA,NA,NA,0,1,2040,""
"Above Spotlogith","1610 Broadway","North of M&M's","Upper Bway","Above 65 Ft","LED",1,24,32,768,"IMG_8870",NA,NA,NA,0,1,768,""
"Hershey's other","1593 Broadway","Custom signage","Upper Bway","Above 65 Ft","Vinyl",1,NA,NA,2000,"IMG_8862",NA,NA,NA,0,1,2000,""
"Crowne Plaza (Broadway & 49th)","1601 Broadway","","Upper Bway","Above 65 Ft","Vinyl",1,25,108,2700,"",NA,NA,NA,0,1,2700,""
"Above Mama Sbarro's (Amare Stoudemire wraparound)","1610 Broadway","Corner of Broadway and 48th St","Upper Bway","Under 65 Ft","Vinyl",1,100,32,3200,"IMG_8869/8899",NA,NA,NA,0,1,3200,""
"Brill Building (Broadway @ 50th St)","1619 Broadway","","Upper Bway","","Vinyl",1,40,50,2000,"",NA,NA,NA,0,1,2000,""
"Brill Building (Broadway between 49th & 50th)","1619 Broadway","","Upper Bway","","Vinyl",1,45,65,2925,"",NA,NA,NA,0,1,2925,""
"Morgan Stanley Building (1626 Broadway btw 49th & 50th)","1626 Broadway","Falling skies","Upper Bway","Under 65 Ft","Vinyl",1,29,125,3625,"IMG_8872/3",NA,NA,NA,0,1,3625,""
"Morgan Stanley Building (1626 Broadway @ 49th )","1626 Broadway","Celeb Cruises","Upper Bway","Under 65 Ft","Vinyl",1,44,36,1584,"IMG_8871",NA,NA,NA,0,1,1584,""
"Above Famiglia pizzeria","1628 Broadway","Ugg ad","Upper Bway","Under 65 Ft","Vinyl",1,45,20,900,"IMG_8874",NA,NA,NA,0,1,900,""
"Winter Garden Theatre (Broadway @ 50th)","1632 Broadway","Ugg","Upper Bway","Under 65 Ft","Vinyl",1,28,48,1344,"IMG_8889",NA,NA,NA,0,1,1344,""
"Winter Garden Theatre Package (Broadway@50th)","1632 Broadway","Telecharge","Upper Bway","Above 65 Ft","Vinyl",1,28,48,1344,"IMG_8876",1,28,42,1176,2,2520,""
"Winter Garden Theatre (Broadway @ 50th)","1632 Broadway","","Upper Bway","","Vinyl",1,28,42,1176,"",NA,NA,NA,0,1,1176,""
"Winter Garden Theatre (7th Avenue between 50th & 51st)","1632 Broadway","","Upper Bway","","Vinyl",1,30,40,1200,"",NA,NA,NA,0,1,1200,""
"Winter Garden Theatre (7th Avenue between 50th & 51st)","1632 Broadway","","Upper Bway","","Vinyl",1,30,29,870,"",NA,NA,NA,0,1,870,""
"Winter Garden Theatre Package (7th Avenue & Broadway Btw 50th & 51st)","1632 Broadway","","Upper Bway","","Vinyl",2,28,48,2688,"",1,28,42,1176,3,3864,""
"Winter Garden Theatre Package (7th Avenue & Broadway Btw 50th & 51st)","1632 Broadway","","Upper Bway","","Vinyl",1,30,40,1200,"",1,30,29,870,2,2070,""
"1650 Broadway (Broadway @ West 50th St)","1650 Broadway","Fast Five","Upper Bway","Under 65 Ft","Vinyl",1,130,92,11960,"IMG_8879-81",1,130,48,6240,2,18200,""
"Sheraton Manahattan (Broadway & 52nd)","1652 Broadway","Maybelline","Upper Bway","Under 65 Ft","Vinyl",1,26,18,468,"IMG_8885",NA,NA,NA,0,1,468,""
"Sheraton Manhattan (Broadway & 51st)","1652 Broadway","Time","Upper Bway","","Vinyl",1,26,30,780,"IMG_8887",NA,NA,NA,0,1,780,""
"Sheraton Manhattan (Broadway & 51st & 52nd)","1652 Broadway","","Upper Bway","","Vinyl",1,26,18,468,"",1,26,30,780,2,1248,""
"Sheraton (Broadway between 51st and 52nd)","1652 Broadway","","Upper Bway","","Vinyl",1,25,200,5000,"",NA,NA,NA,0,1,5000,""
"Above Times Square Church wraparound (blank)","1657 Broadway","","Upper Bway","Above 65 Ft","Vinyl",1,200,15,3000,"IMG_8877-8",NA,NA,NA,0,1,3000,""
"Coca-cola ad","1674 Broadway","","Upper Bway","Marquee","Vinyl",1,48,16,768,"IMG_8882",NA,NA,NA,0,1,768,""
"Above Crown Deli (blank)","1674 Broadway","Facing NE corner of Broadway and 52nd","Upper Bway","Above 65 Ft","Vinyl",1,15,30,450,"IMG_8883",NA,NA,NA,0,1,450,""
"Seastreak","1674 Broadway","Facing south, 52nd St","Upper Bway","Under 65 Ft","Vinyl",1,38,12,456,"IMG_8884",NA,NA,NA,0,1,456,""
"Above Crown Deli highest (New York running)","1674 Broadway","Facing Broadway ","Upper Bway","Above 65 Ft","Vinyl",1,15,20,300,"IMG_8886",NA,NA,NA,0,1,300,""
